;b0.9;b0.99;b0.999
0;0.9821464450467361;0.96823740028261;0.9555545115929134
1;0.9711325453717734;0.9559910481523413;0.942455261701098
2;0.9617261945465119;0.9456413179687155;0.9314291036091866
3;0.95308626212832;0.936219342344651;0.921436082369157
4;0.9449213218591535;0.927379642748003;0.912098109072564
5;0.9370895126474623;0.9189513170046815;0.9032259344906348
6;0.9295090355585667;0.9108347918304975;0.8947083996281682
7;0.9221275791348775;0.9029659270398664;0.886473474134742
8;0.9149092520670863;0.8953004828897291;0.8784712485500976
9;0.907828139315076;0.8878063886470087;0.8706654113638235
10;0.900864788868138;0.8804594978531535;0.8630285425185245
11;0.8940041477595293;0.8732410789336738;0.8555393194421055
12;0.887234276783113;0.8661362462106426;0.8481807629599116
13;0.8805455122448362;0.8591329318972007;0.8409390844338005
14;0.8739298980305825;0.8522211877802488;0.8338028999587181
15;0.8673807881642654;0.845392695170152;0.8267626782630406
16;0.860892561881327;0.8386404119294837;0.8198103416950557
17;0.8544604132080471;0.8319583127504446;0.8129389718668245
18;0.8480801939754778;0.8253411934607058;0.8061425882322377
19;0.8417482932713825;0.818784521720759;0.7994159781788559
20;0.8354615443661826;0.8122843209578416;0.7927545650711416
21;0.8292171513713069;0.8058370789217018;0.7861543041751611
22;0.8230126308569086;0.7994396748086048;0.7796115994798378
23;0.8168457648782794;0.7930893207626375;0.7731232369327661
24;0.8107145625587977;0.7867835137961778;0.7666863296668003
25;0.804617229007035;0.7805199967325551;0.7602982730637431
26;0.7985521389486865;0.7742967255515534;0.7539567076178566
27;0.7925178154807748;0.768111842322847;0.7476594877947635
28;0.7865129114451985;0.7619636523303925;0.7414046559544163
29;0.7805361942365328;0.755850604514652;0.7351904198829384
30;0.7745865325306822;0.7497712755236963;0.7290151342243829
31;0.7686628853418405;0.743724355103081;0.7228772841825843
32;0.762764291952567;0.7377086342214834;0.7167754714931158
33;0.7568898638811272;0.7317229945351171;0.7107084025489234
34;0.7510387774891203;0.7257663992491274;0.7046748776319101
35;0.7452102675786381;0.7198378851431437;0.69867378212358
36;0.7394036219789504;0.7139365555863593;0.6927040781231326
