k;b0.9;b0.99;b0.999
0;0.9856820588647441;0.974493414378756;0.9642631755005591
1;0.9768390307212209;0.9646354264716646;0.953693485435285
2;0.9692809258049604;0.9562961658999429;0.944786791032951
3;0.9623344333443276;0.9486985614396886;0.9367073947211524
4;0.9557663710636544;0.9415656646497033;0.9291516463420391
5;0.9494632793681557;0.9347605398542793;0.9219676371140697
6;0.9433597638135702;0.928203439764157;0.9150661841697543
7;0.9374140208802748;0.9218430173062708;0.908389523623502
8;0.9315973796864523;0.9156438706395322;0.901897648418724
9;0.9258891462445351;0.9095803458433904;0.8955614626412636
10;0.9202737927878917;0.9036331343890207;0.8893590032601337
11;0.9147393068851475;0.8977872628795527;0.8832731970953074
12;0.909276163609313;0.8920308354735562;0.8772904529490273
13;0.9038766553929831;0.8863542112361738;0.8713997366860742
14;0.8985344381832088;0.88074944423963;0.8655919408448014
15;0.8932442137440801;0.8752098917674673;0.8598594419678744
16;0.8880015015991154;0.8697299314835212;0.8541957803437208
17;0.8828024715678187;0.864304753514157;0.8485954244983356
18;0.8776438179789261;0.8589302040442854;0.8430535931962522
19;0.8725226635113486;0.8536026659334488;0.8375661197584889
20;0.8674364848047831;0.8483189655835652;0.8321293460081867
21;0.8623830540192203;0.8430763001211445;0.8267400389172426
22;0.8573603922106088;0.8378721789567967;0.8213953242495737
23;0.8523667317287047;0.8327043770444791;0.8160926328936557
24;0.8474004857744678;0.8275708965226514;0.8108296569157376
25;0.8424602233707645;0.8224699353985498;0.8056043139949625
26;0.8375446485822353;0.8173998616457812;0.8004147171553824
27;0.832652583344033;0.8123591912600339;0.7952591503187416
28;0.8277829527352858;0.807346570214702;0.7901360470586805
29;0.8229347728136953;0.8023607590940642;0.785043973022022
30;0.8181071401381586;0.7974006195891059;0.779981610794779
31;0.8132992228047875;0.7924651037291028;0.7749477468636392
32;0.8085102528217054;0.7875532437534853;0.7699412606147171
33;0.8037395192405434;0.7826641440209778;0.7649611145546662
34;0.7989863626267124;0.7777969736754293;0.7600063460451929
35;0.7942501698207134;0.7729509600683508;0.7550760597942661
36;0.789530369630771;0.7681253835784316;0.7501694217443142
37;0.7848264288165048;0.7633195723728514;0.7452856531932515
38;0.7801378488292996;0.7585328982163264;0.74042402573041
39;0.7754641626108858;0.7537647727458219;0.7355838570455902
40;0.7708049320322004;0.7490146438616749;0.7307645069127315
