;b0.9;b0.99;b0.999
0;0.8394686638107491;0.7300335710225689;0.641539507902736
1;0.7455500955439035;0.636889000615136;0.5518839542181977
2;0.6683632183246713;0.5619975984369974;0.48071317221402954
3;0.5997864615388309;0.49675667845361404;0.4195253711522725
4;0.5369973342591419;0.43807848980228936;0.36519743843421937
5;0.4786330704073284;0.3844433612522259;0.3161694389020774
6;0.42392865234367727;0.3349855353980007;0.27154208910941113
7;0.3724218783541322;0.2891740453920749;0.2307570652483914
8;0.32382826460835157;0.24667517105723819;0.19345746762891775
9;0.2779812626324424;0.2072855304610911;0.15941890240078077
10;0.23480252526421774;0.17089772197114472;0.1285130751647634
11;0.19428854118474792;0.13748336318274823;0.10068838145352452
12;0.15650827762451291;0.1070870855183099;0.07596042569318606
13;0.12161057832425934;0.07982894961238884;0.054408780026156345
14;0.0898431129807655;0.05591474253792858;0.036177112135153316
15;0.0615882963212039;0.035654209551564425;0.021471661483060366
16;0.03742713108041107;0.019483974116761532;0.01054331117877759
17;0.018247939620217937;0.007970110391384125;0.0036037543355513573
18;0.00538597989331514;0.0016474067887329003;0.0005154952617686321
19;0.0002499999927402988;2.4999967951457128e-05;2.49997129333904e-06
