N;0.9_mean;0.9_std;0.99_mean;0.99_std;0.999_mean;0.999_std;Frequentist_mean;Frequentist_std
100;0.862;0.0;0.827;0.0;0.798;0.0;973.0;24.042
200;0.93;0.0;0.911;0.0;0.895;0.0;973.5;6.364
