Method;0.9_N=100;0.99_N=100;0.999_N=100;0.9_N=200;0.99_N=200;0.999_N=200
Our approach;0.5655996666666666;0.5264263333333333;0.49469266666666667;0.76486;0.7398750000000001;0.7189953333333333
Baseline;9.484791311927292e-06;2.750079466851143e-06;8.749505867667542e-07;0.004305069937074605;0.002400716711262029;0.0013997177420472997
