Nsamples;0.9_mean;0.9_stdev;0.99_mean;0.99_stdev;0.999_mean;0.999_stdev;frequentist_mean;frequentist_stdev
10;0.282551;0.06269915828781117;0.182189;0.04802669257819031;0.12226;0.036950571957684225;64.5;20.506096654409877
20;0.451281;0.038681569358028876;0.3597145;0.03497138007714306;0.2938555;0.03155605432401204;65.5;2.1213203435596424
40;0.6939124999999999;0.023420083699679687;0.6249979999999999;0.023379778613152075;0.5697570000000001;0.023061580561618084;93.0;5.656854249492381
80;0.829484;0.0;0.787676;0.0;0.752583;0.0;95.0;0.0
