Nsamples;0.9_mean;0.9_stdev;0.99_mean;0.99_stdev;0.999_mean;0.999_stdev;frequentist_mean;frequentist_stdev
10;0.213179;0.16080598153675751;0.1336745;0.11663655644993984;0.087987;0.08541991338089731;60.5;14.849242404917497
20;0.5392095;0.08566810786109384;0.4406;0.07941799102218591;0.367847;0.0730837284763168;82.5;9.192388155425117
40;0.727768;0.024458823561242685;0.658942;0.024624286548040306;0.6033395;0.024431246396776404;87.0;9.899494936611665
80;0.866235;0.0;0.826152;0.0;0.792139;0.0;93.0;2.8284271247461903
