N;0.9_mean;0.9_std;0.99_mean;0.99_std;0.999_mean;0.999_std;Frequentist_mean;Frequentist_std
100;0.88;0.018;0.846;0.019;0.818;0.02;950.4;31.454
200;0.94;0.011;0.923;0.012;0.907;0.013;969.8;10.465
