k;b0.9;b0.99;b0.999
0;0.9311330009476737;0.8798572127677153;0.8349644760886852
1;0.8893856788415468;0.835191673103423;0.7888546602960573
2;0.8541535272863332;0.7980099869170489;0.7507132961988423
3;0.822105153401647;0.7645835428794951;0.7166504960365094
4;0.792080674085544;0.733574803043997;0.6852418158456648
5;0.7635130535896029;0.7043188381346208;0.6557702249060253
6;0.7360742840618213;0.6764268070074044;0.6278127968898268
7;0.7095542137860187;0.6496476644451117;0.6010947444899013
8;0.6838086235036831;0.6238081361950598;0.5754254724253203
9;0.658733557068391;0.5987827572160078;0.5506664264981584
10;0.6342512928174786;0.5744773749868022;0.5267132872297742
11;0.6103020850109198;0.5508193782445658;0.5034853723412522
12;0.5868390129190078;0.5277515733641609;0.48091896714500737
13;0.5638246183404119;0.5052281692519527;0.45896293696772905
14;0.5412286281110366;0.48321204845425836;0.4375757351019933
15;0.5190263632886496;0.46167285474464936;0.4167233004619697
16;0.4971976013677364;0.44058562064551865;0.3963775445916946
17;0.47572574478306673;0.4199297622399867;0.3765152408300726
18;0.45459720518905833;0.39968833126166614;0.3571171954337867
19;0.4338009410581193;0.37984745234299977;0.33816762219418994
20;0.41332810977345946;0.3603958967023506;0.3196536668807183
21;0.39317180517074823;0.3413247586840322;0.3015650447235776
22;0.37332686178575125;0.3226272124502857;0.2838937656735858
23;0.35378971329329933;0.30429833211960855;0.2666339292201678
24;0.3345582939617181;0.28633496405914627;0.24978157590361305
25;0.315631979630261;0.2687356444626454;0.2333345880128067
26;0.29701156250519156;0.2515005561603685;0.21729263155219092
27;0.2786992587849868;0.2346315230311588;0.2016571385466367
28;0.26069874975494634;0.21813204102712386;0.18643132636638698
29;0.24301525699148935;0.2020073463930137;0.17162025581830193
30;0.22565565656558606;0.18626452579511504;0.15723092963322155
31;0.20862863789146324;0.17091267214315914;0.14327243623888736
32;0.19194491589352786;0.1559630956513003;0.1297561449302292
33;0.175617509821063;0.14142960061554244;0.1166959625069417
34;0.15966210640582262;0.12732884525349847;0.10410866441686656
35;0.14409753250823798;0.11368080672539227;0.09201431780927125
36;0.12894637433051281;0.10050938300127127;0.0804368203049573
37;0.11423579447755805;0.08784317587045959;0.06940458690486534
38;0.09999862439836973;0.07571651755007158;0.05895142502583993
39;0.08627484687694165;0.06417083076521385;0.049117651913093835
40;0.07311364453447189;0.05325644907716147;0.03995151758468393
41;0.06057629001434449;0.04303508157033911;0.03151100001397772
42;0.048740322614622106;0.033583178477475883;0.02386600648517718
43;0.03770574257268511;0.02499653168028424;0.01710087832717036
44;0.02760444728374642;0.01739644326631283;0.011316627542897643
45;0.018614931994831718;0.010937334085119963;0.006630857355894677
46;0.010985186253815254;0.005813153517672955;0.003168670173675901
47;0.005064842407931723;0.002248376730283233;0.0010233789883033711
48;0.001318379022097801;0.0004080807653865585;0.000128175898889611
49;3.999996572353585e-05;3.999982712079073e-06;3.9995530710299504e-07
