k;b0.9;b0.99;b0.999
0;0.8685941566559021;0.7763729204018541;0.699817271969184
1;0.7907934981053935;0.6972500761751166;0.6218698756893037
2;0.7262575604967918;0.632845475829408;0.5590742709447061
3;0.6684286139912925;0.5760867383439141;0.5043167781464102
4;0.6150213766405299;0.5244307251507747;0.45498196498646915
5;0.5649230177962026;0.4766166079092915;0.40975536179616945
6;0.5174971295287136;0.43191433094554843;0.3678683272760833
7;0.4723450128774984;0.3898618830009548;0.32883045530652977
8;0.42920346968065426;0.3501512452580946;0.2923122067665739
9;0.3878945795500136;0.31257171943085205;0.2580860778871049
10;0.3482987210860252;0.27697915576066234;0.22599437328839916
11;0.31033931844382856;0.24327831656095156;0.1959305213792103
12;0.27397415366525457;0.21141258842054456;0.16782795395779804
13;0.23919078358223989;0.1813582316360231;0.14165359405525313
14;0.20600489667276822;0.15312176843398745;0.11740442127605694
15;0.17446117814312617;0.12673988017632626;0.09510631934460492
16;0.14463678509987582;0.1022816714053914;0.07481480579644278
17;0.11664807547185757;0.07985354403709777;0.056617432869651194
18;0.09066198591985433;0.059607287119828295;0.040637575135541434
19;0.06691469129179009;0.04175226860361128;0.02703865386143025
20;0.04574237173703577;0.026572310963345898;0.01602536420275235
21;0.027632542200760356;0.014444390526248824;0.00783004855683718
22;0.013307111554467139;0.005837271512678248;0.002643949066348363
23;0.0038149874336544445;0.0011708113678987396;0.00036675187102913154
24;0.00015999994790016567;1.5999957646677737e-05;1.599964442095021e-06
