k;b0.9;b0.99;b0.999
0;0.9647261885129921;0.9376599526709246;0.9133137519703389
1;0.9430918356971509;0.9139126354000804;0.8882125093171558
2;0.924686607404605;0.8939409852298146;0.8672019073496944
3;0.9078334862125892;0.8758318883533656;0.8482480598051501
4;0.8919502978988858;0.8589015732093386;0.8306094861263609
5;0.8767531033986518;0.8428110646911138;0.8139141571716169
6;0.8620778885995444;0.8273624834110909;0.7979430964776983
7;0.8478195977542204;0.8124281474892663;0.7825541484805005
8;0.8339060519081003;0.7979198595720545;0.7676486589365905
9;0.8202850752856516;0.7837736039218499;0.7531547568099148
10;0.8069174699749797;0.7699411343040932;0.7390181124086608
11;0.7937728842898526;0.7563849974068972;0.725196445026802
12;0.7808272377209997;0.7430754172760059;0.7116560695999974
13;0.7680610398988643;0.7299882522841021;0.6983696264904034
14;0.7554582508293981;0.7171036060049882;0.6853145315912925
15;0.7430054826342032;0.7044048512457346;0.6724718863303953
16;0.7306914261468629;0.6918779271891762;0.6598256894799668
17;0.7185064282089109;0.6795108208218621;0.6473622552547995
18;0.7064421750783632;0.6672931766516907;0.6350697749503327
19;0.6944914500530182;0.6552159986846859;0.6229379805605788
20;0.6826479455179224;0.643271418060015;0.6109578831928966
21;0.6709061150979083;0.6314525105689723;0.5991215668964553
22;0.6592610560199146;0.6197531511358285;0.5874220238763492
23;0.6477084142344991;0.6081678960055219;0.5758530215472979
24;0.6362443072324782;0.5966918876323439;0.5644089943838144
25;0.6248652608314098;0.5853207756339338;0.553084954629653
26;0.6135681568469054;0.5740506523554003;0.5418764187233254
27;0.6023501894950909;0.5628779982123249;0.5307793455397727
28;0.5912088285471597;0.5517996362305815;0.5197900848765868
29;0.5801417887703484;0.5408126938621096;0.5089053333326019
30;0.5691470034434534;0.5299145699811716;0.49812209734603086
31;0.5582226020632945;0.5191029072357125;0.48743766135487465
32;0.5473668911943961;0.5083755679493895;0.476849560672152
33;0.5365783380544265;0.49773061369068317;0.4663555577371744
34;0.5258555563115288;0.48716628769418235;0.45595362203390233
35;0.5151972935696729;0.476680998969895;0.44564191262864794
36;0.5046024211823161;0.4662733096139763;0.435418762628629
37;0.4940699244735154;0.455941922643328;0.425282666143453
38;0.4835988951709318;0.4456856723913355;0.4152322665271697
39;0.47318852442091064;0.43550351542747123;0.40526634665759187
40;0.4628380964438473;0.42539452328133776;0.3953838197394848
41;0.4525469836447431;0.4153578753995407;0.38558372220323156
42;0.4423146421312153;0.4053928539652073;0.37586520671991397
43;0.432140607755377;0.39549883865929636;0.366227536788
44;0.4220244930870376;0.3856753027606853;0.3566700819021079
45;0.411965984677944;0.3759218094790876;0.34719231336205447
46;0.40196484073347316;0.36623800916108473;0.3377938009550191
47;0.39202088971564863;0.35662363713644296;0.3284742102197826
48;0.3821340289461569;0.34707851168084547;0.3192333002348371
49;0.3723042236168168;0.33760253290994646;0.3100709222214014
50;0.3625315066149565;0.32819568202267124;0.3009870181464378
51;0.3528159784069985;0.31885802089376325;0.29198162054802856
52;0.34315780721308287;0.30958969236482226;0.28305485236075356
53;0.3335572302294272;0.3003909208263804;0.2742069276141812
54;0.3240145542686115;0.29126201338205615;0.26543815218956934
55;0.31453015773863857;0.2822033612455379;0.25674892568250895
56;0.30510449262199446;0.273215442243513;0.24813974332377853
57;0.29573808686216285;0.26429882314397435;0.23961119883151788
58;0.2864315476232533;0.2554541630904733;0.23116398778727365
59;0.2771855646078386;0.24668221732740825;0.2227989114777043
